"review_id","star_rating","helpful_votes","vine","verified_purchase"
"R2FP3U4NHNFNL2",5,25,"N","Y"
"R1UUK1977O38MU",5,31,"N","Y"
"RXO216LWUDV6O",3,29,"N","Y"
"R3NMJF7EBMM19V",3,26,"N","Y"
"R2ZY0ZBDUO0XUY",3,20,"N","Y"
"RBDVHX7PMQEKM",5,35,"N","Y"
"RGO3KSDXYWTGU",4,26,"N","Y"
"R1E1PQGHWGO3Q1",1,89,"N","Y"
"R1XOXXUVYZEDJB",5,22,"N","Y"
"R7SHITUU5UG9U",5,27,"N","Y"
"R230TLHU91M5Y3",4,21,"N","Y"
"RHR5MKO23K9TU",5,26,"N","Y"
"R1HGK3TCY161D7",5,52,"N","N"
"R340QYAVNZZHJA",4,25,"N","N"
"R2F1UVQK0JL4QH",3,20,"N","Y"
"R1N21UY546VWMN",2,48,"N","Y"
"R1E4L344EK0ZOT",5,20,"N","N"
"R282QUZDDJW3ON",4,45,"N","Y"
"R3H5T3T7QY3ZL2",5,247,"N","Y"
"R3W1A1P95IIGHX",5,23,"N","N"
"RN2B68SF5XGIE",3,79,"N","Y"
"R1UCC2JOR6WPK0",5,20,"N","Y"
"R38K01N5VVT7BN",5,21,"N","N"
"R3UR0ESO5IJ5LS",3,48,"N","N"
"R2JIG216P4XBL1",4,22,"N","Y"
"R2HT1LCYPAD8QR",5,37,"N","Y"
"RH2RSDRIV6T22",1,19,"N","Y"
"R8N1CPW7O8TLZ",5,20,"N","Y"
"RCDHLZF7CBGZU",5,31,"N","Y"
"R24UOOBOCUNN8H",5,84,"N","Y"
"R2KHNJ30J61R23",5,80,"N","N"
"R17CE5O89DNFBY",1,27,"N","Y"
"R2X4IE3KC3YGHV",5,18,"N","Y"
"R3KAY3H8UDJNUH",5,23,"N","Y"
"R1L2FF1MUCRA9G",2,16,"N","N"
"R3JASJW1FMKJ4N",5,56,"N","Y"
"R2SE01OVIT7EZ9",5,36,"N","Y"
"R23910FNGB9EAQ",5,21,"N","Y"
"RI1A9YA5XX494",3,19,"N","Y"
"R2T834I4E9T24W",4,25,"N","Y"
"R2OUBZETX7ZVZ",5,24,"N","N"
"R3ISVXV0TXVQPZ",5,282,"N","Y"
"R3P8HJFH3CH1SB",2,34,"N","Y"
"RAG936AR2XV36",5,29,"N","Y"
"R2ROBJQXIDS0LH",2,15,"N","N"
"RCIWJ8JC2SVTN",5,20,"N","Y"
"R5ACW5DIQEG0N",4,25,"N","Y"
"R3ME8R8YWI3XI2",4,24,"N","Y"
"RWOCWNG9LU3Z6",5,24,"N","Y"
