"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R2FP3U4NHNFNL2",5,25,29,"N","Y"
"R1UUK1977O38MU",5,31,31,"N","Y"
"RXO216LWUDV6O",3,29,31,"N","Y"
"R3NMJF7EBMM19V",3,26,27,"N","Y"
"R2ZY0ZBDUO0XUY",3,20,21,"N","Y"
"RBDVHX7PMQEKM",5,35,39,"N","Y"
"RGO3KSDXYWTGU",4,26,26,"N","Y"
"R2O4P39D0ALCQK",2,14,43,"N","Y"
"R1E1PQGHWGO3Q1",1,89,96,"N","Y"
"R1XOXXUVYZEDJB",5,22,22,"N","Y"
"R7SHITUU5UG9U",5,27,27,"N","Y"
"R230TLHU91M5Y3",4,21,21,"N","Y"
"RHR5MKO23K9TU",5,26,30,"N","Y"
"R1HGK3TCY161D7",5,52,55,"N","N"
"R340QYAVNZZHJA",4,25,25,"N","N"
"R2F1UVQK0JL4QH",3,20,20,"N","Y"
"R1N21UY546VWMN",2,48,50,"N","Y"
"R1E4L344EK0ZOT",5,20,26,"N","N"
"R282QUZDDJW3ON",4,45,49,"N","Y"
"R3H5T3T7QY3ZL2",5,247,263,"N","Y"
"R3W1A1P95IIGHX",5,23,25,"N","N"
"RN2B68SF5XGIE",3,79,85,"N","Y"
"R1UCC2JOR6WPK0",5,20,22,"N","Y"
"R38K01N5VVT7BN",5,21,21,"N","N"
"R3UR0ESO5IJ5LS",3,48,54,"N","N"
"R2JIG216P4XBL1",4,22,22,"N","Y"
"R2HT1LCYPAD8QR",5,37,37,"N","Y"
"RH2RSDRIV6T22",1,19,23,"N","Y"
"R8N1CPW7O8TLZ",5,20,20,"N","Y"
"RCDHLZF7CBGZU",5,31,31,"N","Y"
"R24UOOBOCUNN8H",5,84,87,"N","Y"
"R2KHNJ30J61R23",5,80,81,"N","N"
"R17CE5O89DNFBY",1,27,27,"N","Y"
"R2X4IE3KC3YGHV",5,18,25,"N","Y"
"R3KAY3H8UDJNUH",5,23,28,"N","Y"
"R1L2FF1MUCRA9G",2,16,22,"N","N"
"RM4GZJK9R5QP",1,4,30,"N","Y"
"R3JASJW1FMKJ4N",5,56,60,"N","Y"
"R2SE01OVIT7EZ9",5,36,37,"N","Y"
"R23910FNGB9EAQ",5,21,24,"N","Y"
"RI1A9YA5XX494",3,19,30,"N","Y"
"R2T834I4E9T24W",4,25,25,"N","Y"
"R2OUBZETX7ZVZ",5,24,24,"N","N"
"R3ISVXV0TXVQPZ",5,282,286,"N","Y"
"R3P8HJFH3CH1SB",2,34,35,"N","Y"
"RAG936AR2XV36",5,29,31,"N","Y"
"R4DITJFVUG2F3",1,4,28,"N","Y"
"R2ROBJQXIDS0LH",2,15,20,"N","N"
"RCIWJ8JC2SVTN",5,20,24,"N","Y"
"R5ACW5DIQEG0N",4,25,28,"N","Y"
"R3ME8R8YWI3XI2",4,24,25,"N","Y"
"RWOCWNG9LU3Z6",5,24,24,"N","Y"
"R1FJKGP86992GA",4,31,31,"N","Y"
"R1673SRSL9DKT7",1,9,32,"N","Y"
"R3DJ9BMYNPL1E8",2,26,27,"N","Y"
"R2AZZZ1DOSLHG1",5,52,52,"N","Y"
"RH5D3MM9ULR4P",2,9,32,"N","Y"
"R3PC29LJ4XJDRO",3,120,138,"N","Y"
"R1FDE8V7R4ZM0B",2,0,30,"N","Y"
"R2HPWGPGZX6DO0",5,20,20,"N","Y"
"R31LAX6KKR3I0W",3,28,49,"N","Y"
"R3H8HBAJGDJXN5",5,41,47,"N","Y"
"R3BRFVMJ25X1V7",4,746,757,"N","Y"
"R3JSGYP79W38QC",5,19,21,"N","N"
"R17YTDQ6TYOTY9",1,23,25,"N","Y"
"R1XQSH764LO7I5",1,67,82,"N","N"
"R3MN5JZ3EA2VIW",5,21,22,"N","Y"
"R2YAOIEEI0INAZ",5,27,28,"N","Y"
"R1B7J3A6MSL09H",5,80,82,"N","Y"
"R105VTV3CMDMDA",5,33,36,"N","Y"
